,num_ratings,positive_rating,price,wine_type,country,world,grape,region,rating_score
Ammazza Montepulciano 2016,5.0,5.0,9.99,red wine,,,,,1.0
Ammazza Pinot Grigio IGT,54.0,44.0,9.99,white wine,,,,,0.8148148148148148
"Antony's Yard 2014 Graham Beck, Western Cape",84.0,72.0,9.99,red wine,south-african,new world,,,0.8571428571428571
Araldica Fazzoletto Passito 2016,17.0,13.0,11.99,red wine,,,,,0.7647058823529411
Aresti 'Trisquel' Altitud Merlot 2015,3.0,2.0,16.99,red wine,,,,,0.6666666666666666
Aresti Bellavista Sauvignon Gris 2017,1.0,0.0,10.99,white wine,,,,,0.0
Arraigo Benegas Old Vine,4.0,3.0,24.99,red wine,,,,,0.75
Arraigo Benegas Single Vineyard Blend 2012,7.0,4.0,16.99,red wine,,,,,0.5714285714285714
Ata Rangi Craighall Chardonnay 2014 Martinborough,2.0,2.0,40.0,fine wine,new-zealand,new world,chardonnay,,1.0
Au Bon Climat Pinot Noir 'Isabelle' 2013 California,11.0,8.0,55.0,fine wine,,,pinot noir,,0.7272727272727273
Aurore de Dauzac 2014,1.0,1.0,30.0,fine wine,french,old world,,bordeaux,1.0
BDX Claret,4.0,4.0,9.99,red wine,,,merlot,,1.0
Balfour 1503 Brut NV England,12.0,12.0,25.99,white wine,,,chardonnay,,1.0
Balfour 1503 Rosé NV England,13.0,13.0,25.99,white wine,,,chardonnay,,1.0
Barbaresco 2014 De Forville,20.0,14.0,17.99,red wine,italian,old world,,,0.7
Barbera d?Alba Villa de Forville 2016 De Forville,33.0,28.0,13.99,red wine,italian,old world,,,0.8484848484848485
Barbera d?Asti 2015 De Forville,23.0,19.0,13.99,red wine,italian,old world,,,0.8260869565217391
Bardolino 'Naiano' 2016 Allegrini,40.0,31.0,9.99,red wine,italian,old world,,,0.775
Barista Pinotage 2017 Western Cape,161.0,132.0,9.99,red wine,south-african,new world,,,0.8198757763975155
Barolo 2012 Ciabot Berton,26.0,25.0,30.0,fine wine,italian,old world,,,0.9615384615384616
Barolo 2012 Natale Verga,26.0,17.0,22.99,red wine,italian,old world,,,0.6538461538461539
Barolo Araldica 2012,25.0,19.0,17.99,red wine,italian,old world,,,0.76
Baron Edmond de Rothschild Montagne St Emilion,3.0,3.0,19.99,red wine,french,old world,,bordeaux,1.0
Beaujolais Lantignié 2016 Louis Jadot,37.0,27.0,11.99,red wine,french,old world,,,0.7297297297297297
Beefsteak Club Malbec 2016 Mendoza,206.0,171.0,9.99,red wine,argentinian,new world,,,0.8300970873786407
Bellingham 'The Bernard Series' Old Vine Chenin Blanc 2017 Western Cape,72.0,63.0,13.49,white wine,south-african,new world,,,0.875
Bellingham 'The Bernard Series' Viognier 2017 Western Cape,60.0,54.0,13.49,white wine,south-african,new world,,,0.9
Bellingham Pinopasso Pinotage 2015 Coastal Region,58.0,52.0,10.99,red wine,south-african,new world,,,0.896551724137931
"Ben Marco Malbec 2016/17 Dominio del Plata, Mendoza",86.0,77.0,14.99,red wine,argentinian,new world,,,0.8953488372093024
